#timestamp,latitude,longitude,elevation
2.55951139563e+12,51.6024029613,-1.63876536036,143.609634399;
2.55951346889e+12,51.6024030073,-1.63876537264,143.609664917;
2.55951559144e+12,51.6024030533,-1.63876538493,143.609695435;
2.55951865709e+12,51.6024030993,-1.6387653973,143.609710693;
2.5595206897e+12,51.6024031453,-1.63876540971,143.609741211;
2.5595238331e+12,51.6024031912,-1.63876542218,143.609771729;
2.55952593348e+12,51.6024032371,-1.63876543472,143.610748291;
2.55952904646e+12,51.602403283,-1.63876544731,143.610778809;
2.55953210105e+12,51.6024033289,-1.63876545997,143.610809326;
2.55953322152e+12,51.6024033748,-1.63876547267,143.610824585;
2.55953521593e+12,51.6024034206,-1.63876548541,143.610855103;
2.55953939414e+12,51.6024034664,-1.63876549821,143.61088562;
2.55954147027e+12,51.6024035122,-1.63876551107,143.610916138;
2.55954350537e+12,51.602403558,-1.63876552399,143.610931396;
2.55954559773e+12,51.6024036038,-1.63876553697,143.61076355;
2.55954894499e+12,51.6024036495,-1.63876555,143.610794067;
2.5595508799e+12,51.6024036952,-1.63876556308,143.610824585;
2.55955390071e+12,51.6024037408,-1.63876557621,143.610839844;
2.55955592728e+12,51.6024037865,-1.63876558938,143.610870361;
2.55955906176e+12,51.6024038321,-1.63876560261,143.610900879;
2.55956111638e+12,51.6024038778,-1.63876561591,143.610916138;
2.55956328012e+12,51.6024039234,-1.63876562927,143.610946655;
2.55956536994e+12,51.6024039689,-1.6387656427,143.612701416;
2.55957022405e+12,51.6024040145,-1.6387656562,143.612731934;
2.55957039384e+12,51.6024040601,-1.63876566977,143.612762451;
2.55957430876e+12,51.6024041056,-1.63876568341,143.612792969;
2.5595763171e+12,51.6024041512,-1.63876569708,143.612823486;
2.55957835289e+12,51.6024041967,-1.63876571083,143.612838745;
2.55958038123e+12,51.6024042423,-1.63876572464,143.612869263;
2.5595846343e+12,51.6024042878,-1.63876573852,143.61289978;
2.55958484682e+12,51.6024043334,-1.63876575248,143.612716675;
2.55958880189e+12,51.6024043789,-1.63876576649,143.612747192;
2.55959084088e+12,51.6024044244,-1.63876578056,143.61277771;
2.55959403776e+12,51.6024044699,-1.6387657947,143.612808228;
2.55959628732e+12,51.6024045154,-1.6387658089,143.612838745;
2.55959858049e+12,51.6024045608,-1.63876582317,143.612869263;
2.55960058457e+12,51.6024046063,-1.63876583749,143.612884521;
2.55960507525e+12,51.6024046517,-1.63876585187,143.612915039;
2.55960527174e+12,51.602404697,-1.63876586629,143.617019653;
2.5596092764e+12,51.6024047423,-1.63876588082,143.617050171;
2.55961129302e+12,51.6024047876,-1.63876589541,143.617080688;
2.55961332811e+12,51.6024048329,-1.63876591006,143.617111206;
2.55961547903e+12,51.6024048781,-1.63876592475,143.617156982;
2.55961959224e+12,51.6024049233,-1.63876593952,143.6171875;
2.55961981809e+12,51.6024049685,-1.63876595434,143.617218018;
2.55962376374e+12,51.6024050137,-1.63876596922,143.617248535;
2.55962591583e+12,51.6024050589,-1.63876598415,143.615875244;
2.55962913108e+12,51.6024051041,-1.63876599913,143.615921021;
2.55963120963e+12,51.6024051492,-1.63876601416,143.615951538;
2.55963328842e+12,51.6024051943,-1.63876602923,143.615982056;
2.55963531548e+12,51.6024052394,-1.63876604436,143.616012573;
2.55963938649e+12,51.6024052846,-1.63876605954,143.61605835;
2.55964141316e+12,51.6024053297,-1.63876607477,143.616088867;
2.55964354729e+12,51.6024053748,-1.63876609005,143.616119385;
2.55964555846e+12,51.6024054198,-1.6387661053,143.620269775;
2.55964878078e+12,51.6024054648,-1.63876612068,143.620315552;
2.55965074928e+12,51.6024055099,-1.6387661361,143.620346069;
2.55965384754e+12,51.602405555,-1.63876615157,143.620391846;
2.55965597856e+12,51.6024055712,-1.63876627876,143.602493286;
2.55965813004e+12,51.6024056162,-1.63876629433,143.602508545;
2.55966007344e+12,51.6024056612,-1.63876630994,143.602523804;
2.5596643891e+12,51.6024057061,-1.6387663256,143.602539062;
2.55966680785e+12,51.602405751,-1.63876634126,143.605300903;
2.55966845789e+12,51.6024057959,-1.63876635699,143.605316162;
2.55967048179e+12,51.6024058408,-1.63876637275,143.605331421;
2.55967456631e+12,51.6024058857,-1.63876638855,143.60534668;
2.55967471226e+12,51.6024059305,-1.6387664044,143.605361938;
2.55967858334e+12,51.6024059754,-1.63876642026,143.605377197;
2.55968066488e+12,51.6024060201,-1.63876643617,143.605392456;
2.55968386014e+12,51.6024060649,-1.63876645211,143.605407715;
2.55968588889e+12,51.6024061097,-1.63876646803,143.60635376;
2.55968915668e+12,51.6024061544,-1.63876648401,143.606384277;
2.55969238671e+12,51.6024061991,-1.63876650001,143.606399536;
2.55969818159e+12,51.6024062439,-1.63876651603,143.606414795;
2.55969846586e+12,51.6024062886,-1.63876653212,143.606430054;
2.55969860974e+12,51.6024063332,-1.63876654821,143.606445312;
2.55970037503e+12,51.6024063779,-1.63876656434,143.606460571;
2.55970447154e+12,51.6024064226,-1.6387665805,143.60647583;
2.55970649106e+12,51.6024064672,-1.63876659664,143.60925293;
2.55971032896e+12,51.6024065119,-1.63876661285,143.609268188;
2.55971092407e+12,51.6024065565,-1.63876662909,143.609283447;
2.55971425696e+12,51.6024066012,-1.63876664536,143.609313965;
2.55971730494e+12,51.6024066458,-1.63876666163,143.609329224;
2.55971883074e+12,51.6024066905,-1.63876667794,143.609344482;
2.5597208349e+12,51.6024067351,-1.63876669427,143.609359741;
2.55972445849e+12,51.6024067798,-1.63876671063,143.609375;
2.55972629108e+12,51.6024068244,-1.63876672699,143.611053467;
2.55972889354e+12,51.602406869,-1.6387667434,143.611068726;
2.55973101529e+12,51.6024069137,-1.63876675981,143.611083984;
2.55973418607e+12,51.6024069583,-1.63876677623,143.611099243;
2.55973616366e+12,51.6024070028,-1.63876679264,143.611129761;
2.55973819232e+12,51.6024070474,-1.63876680907,143.61114502;
2.55974023482e+12,51.602407092,-1.6387668255,143.611160278;
2.55974440266e+12,51.6024071365,-1.63876684194,143.611175537;
2.55974643736e+12,51.6024071811,-1.63876685853,143.604309082;
2.55975135658e+12,51.6024072256,-1.63876687501,143.604324341;
2.55975154378e+12,51.6024072701,-1.63876689151,143.604324341;
2.55975339634e+12,51.6024073145,-1.63876690802,143.6043396;
2.55975543605e+12,51.602407359,-1.63876692456,143.604354858;
2.55975962443e+12,51.6024074035,-1.63876694111,143.604354858;
2.55975989801e+12,51.6024074479,-1.63876695768,143.604370117;
2.55976387114e+12,51.6024074924,-1.63876697425,143.604370117;
2.55976584453e+12,51.6024075368,-1.63876699083,143.60534668;
2.55976905258e+12,51.6024075812,-1.63876700743,143.60534668;
2.55977104922e+12,51.6024076256,-1.63876702405,143.60534668;
2.55977312699e+12,51.60240767,-1.63876704069,143.605361938;
2.55977519059e+12,51.6024077145,-1.63876705731,143.605361938;
2.55977940454e+12,51.6024077589,-1.63876707395,143.605377197;
2.55978144466e+12,51.6024078033,-1.6387670906,143.605377197;
2.55978343996e+12,51.6024078477,-1.63876710724,143.605392456;
2.55978552866e+12,51.6024078921,-1.63876712394,143.605224609;
2.55978860561e+12,51.6024079366,-1.63876714062,143.605224609;
2.55979067914e+12,51.602407981,-1.63876715734,143.605224609;
2.55979378801e+12,51.6024080254,-1.63876717408,143.605239868;
2.55979584633e+12,51.6024080698,-1.63876719083,143.605239868;
2.55979905096e+12,51.6024081142,-1.63876720761,143.605239868;
2.55980109862e+12,51.6024081587,-1.63876722439,143.605255127;
